rank,station,rain_mm,basin
1,Genna Tuvara,557.8,Flumendosa
2,Villagrande Strisaili,512.3,Flumendosa
3,Gairo Taquisara ARST,511.0,Flumendosa
4,Villagrande Bau Mandara,490.2,Flumendosa
5,Urzulei Genna Silana,437.0,Cedrino
6,Osini,396.0,Flumendosa
7,Arzana Sicca d'Erba,380.7,Flumendosa
8,Seui RU,368.8,Flumendosa
9,Seui c.ra Arqueri,341.1,Flumendosa
10,Urzulei RU,328.3,Pramaera
11,Ussassai RU,327.1,Flumendosa
12,Seui ARST,284.1,Flumendosa
13,Perdasdefogu RU,273.3,Quirra
14,Lodè a Sas Seddas,263.0,Posada
15,Orgosolo Monte Novo,257.2,Cedrino
16,Villasalto RU,254.0,Flumendosa
17,Lula RF,246.2,Posada
18,Lodè RU,244.9,Posada
19,Dorgali Oddoene RU,230.5,Cedrino
20,Orune RF,227.8,Cedrino
21,Flumendosa a Isca Rena,227.8,Flumendosa
22,Pranu Sanguini,214.6,Flumendosa
23,Sadali RF,211.6,Flumendosa
24,Tertenia RF,211.4,Quirra
25,Sinnai Campuomu,206.6,Picocca
26,Baunei RF,205.6,Pramaera
27,Alà dei Sardi Sos Onorcolos,202.2,Posada
